objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"3 Ring Circus","371947","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","130823024","6.39797","7.16374","2.7479","1591","6460","thing","3 Ring Circus","1","4","75","75","45","2024","1,2,3,4","3","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","Bureau","2025-09-07","Devir; IELLO","French","2024","French edition"
"300: La Terre et L'Eau","267058","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","140255841","6.14637","7.35881","2.3774","2446","2692","thing","300: Earth & Water","2","2","40","40","40","2021","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Nuts! Publishing","French","2021","French edition"
"6 qui Surprend","268586","0","1","0","1","0","0","0","0","0","0","0","3","Revanche","","","","","82031921","6.4849","7.24987","1.2222","1365","7421","thing","6 nimmt! 25 Jahre","2","10","45","45","45","2019","3,4,5,6,7,8","4,5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Gigamic","French","2019","French edition"
"7 Wonders","68448","7","17","0","1","0","0","0","0","0","0","0","3","","","","","","13246413","7.54803","7.66201","2.3142","118","156265","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","B6","2025-09-07","Repos Production","French","2010","Repos French first edition"
"7 Wonders: Armada","247315","0","0","0","1","0","0","0","0","0","0","0","3","LA Revanche","","","","","51701365","6.8043","7.95927","2.7344","0","10827","thing","7 Wonders: Armada","3","7","40","40","40","2018","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","A2","2021-07-11","Repos Production","French","2018","French edition"
"7 Wonders: Babel","154638","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","25842668","6.33032","6.83934","2.6525","0","15227","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Catan","110308","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","14127220","6.18787","7.09804","1.9359","0","6885","thing","7 Wonders: Catan","2","7","30","30","30","2011","2,3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Cities","111661","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","14694074","7.34971","7.79615","2.343","0","32046","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Leaders","92539","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","15539127","7.45965","7.81315","2.2742","0","37421","thing","7 Wonders: Leaders","2","7","40","40","40","2011","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Leaders – Louis","127838","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","16568337","5.90305","6.93752","1.9545","0","4885","thing","7 Wonders: Leaders – Louis","2","7","40","40","40","2012","2,3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Leaders – Wil Promo Card","156119","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","28018794","5.73505","6.88053","2.1667","0","3211","thing","7 Wonders: Leaders – Wil Promo Card","2","7","40","40","40","2014","3,4,5,6,7","4,5","14+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"7 Wonders: Manneken Pis","83445","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","13246412","6.08917","6.77104","1.9681","0","6185","thing","7 Wonders: Manneken Pis","2","7","30","30","30","2010","3,4,5,6,7","3,4,5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","Mat","","","","","",""
"7 Wonders: Wonder Pack","133993","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","17716712","6.94537","7.58498","2.2563","0","18215","thing","7 Wonders: Wonder Pack","2","7","30","30","30","2013","3,4,5,6,7","4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production","English; French; German; Spanish","2013","English/French/German/Spanish edition"
"À la Recherche de la Planète X","279537","8.5","3","0","1","0","0","0","0","0","0","0","3","","","","","","74473863","7.55015","7.89555","2.433","116","27035","thing","The Search for Planet X","1","4","75","75","60","2021","1,2,3,4","2,3","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","A1","2025-09-07","Foxtrot Games; Lucky Duck Games; Renegade Game Studios","French","2021","French edition"
"Abyss","155987","7.5","1","0","1","0","0","0","0","0","0","0","1","","","","","","109916890","7.05696","7.32217","2.3199","440","21923","thing","Abyss","2","4","60","60","30","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","A5","2025-09-07","","","",""
"Abyss: Leviathan","232197","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","103615335","6.4791","8.0111","2.4231","0","5885","thing","Abyss: Leviathan","2","5","60","60","30","2018","2,3,4,5","3,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Bombyx","French","2018","French edition"
"Aeon's End","191189","8.5","0","0","1","0","0","0","0","0","0","0","3","EspaceJeux.tv","","","","","71331416","7.57843","7.86262","2.8014","108","34885","thing","Aeon's End","1","4","60","60","60","2018","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Matagot","French","2018","French first edition"
"After the Empire: Solo Mode","372725","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","99711466","0","8.06818","0","0","321","thing","After the Empire: Solo Mode","1","1","120","120","60","2023","","","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Grey Fox Games","English","2023","English edition"
"Age of Rail: South Africa – Expansion Maps: Allegheny & La Pampa","430518","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","125096515","5.53821","7.45333","3.5","0","605","thing","Age of Rail: South Africa – Expansion Maps: Allegheny & La Pampa","3","6","60","60","60","2025","3,4,5,6","4,5","","","","","","","","expansion","","","","","","","","","","","","Capstone Games","English","2025","English edition"
"Age of Steam Deluxe Expansion: Detroit Bankruptcy & Heavy Cardboard Maps","303949","0","0","0","1","0","0","0","0","0","0","0","1","EGG Store","","","","","78095728","5.57282","8.1","4","0","547","thing","Age of Steam Deluxe Expansion: Detroit Bankruptcy & Heavy Cardboard Maps","1","6","180","180","120","2020","3,4,5","4,5","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","","","",""
"Age of Steam Deluxe Expansion: Hungary & Finland Maps","294765","0","0","0","1","0","0","0","0","0","0","0","3","EGG","","","","","74943505","5.58324","7.90123","4","0","752","thing","Age of Steam Deluxe Expansion: Hungary & Finland Maps","3","6","180","180","120","2019","4,5,6","5","14+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Eagle-Gryphon Games","English","2019","English edition"
